_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
819,ATLAS TRADER,9083902,General Cargo Ship,J8B4576,376245000,VC,VCKTN,13,"6,86","116,96","17,9",
820,ATLAS WIND,9126704,General Cargo Ship,YJXN6,577603000,VU,VUVLI,13,"6,62","100,62","16,2",
821,ATOLL,9289738,Chemical/Products Tanker,A8FZ7,636012522,LR,LRMLW,11,"12,43",183,"32,2",
822,ATOMIC,9860099,Yacht,ZGIY7,319172900,KY,"",23,"3,15","61,8","10,8",
823,ATRIA,9595137,Chemical/Products Tanker,FICZ,226099000,FR,FRMRS,11,"11,52",184,"27,4",
824,ATTESSA IV,9179830,Yacht,ZCTB7,319630000,KY,"",23,"4,2",101,"12,84",
825,ATTILIO IEVOLI JR,9322645,Chemical/Products Tanker,9HFU8,247166800,IT,ITNAP,11,"6,29","105,5","16,8",
826,AU LIBRA,9236339,Chemical/Products Tanker,3EXJ4,373461000,PA,PAPTY,11,"8,77",124,"20,2",
827,AUDAZ,,"",KMR7,,ES,"",18,"4,2","93,9","14,2",
828,AUGSBURG,,"",4372,,DE,"",18,7,150,20,
829,AUGUST OLDENDORFF,9692686,Bulk Carrier,D5YN5,636020285,LR,LRMLW,12,"13,07",198,"32,26",
830,AUJAQ,9081320,General Cargo Ship,PDWG,245716000,NL,NLAMS,13,"8,52","136,34","18,9",
831,AULAC AURORA,9390903,Chemical/Products Tanker,XVQH7,574005680,VN,"",11,"9,41","149,61","24,2",
832,AULAC VISION,9361457,Chemical/Products Tanker,3WVT9,574002830,VN,"",11,"8,71","128,6","20,4",
833,AURA,9624316,Chemical/Products Tanker,UBDJ5,273355480,RU,RUTAG,11,"4,65","139,9","16,7",
834,AURELIA,9121895,Container Ship (Fully Cellular),3ESB4,370180000,PA,PAPTY,17,"6,62","99,99","17,9",
835,AURELIA,9327102,Chemical/Products Tanker,DDNW,211852000,DE,"",11,"9,05",168,"26,4",
836,AURIGA LEADER,9402718,Vehicles Carrier,7KJB,431647000,JP,JPTYO,21,"9,73","199,99","32,26",2
837,AURORA,1008023,Yacht,ZGDB3,319055000,KY,"",23,0,"49,99","9,5",
838,AURORA,1012969,Yacht,ZGGJ8,319112700,KY,KYGEC,23,"3,65",74,13,
839,AURORA,9169524,Passenger/Cruise,ZCDW9,310556000,BM,BMBDA,16,"8,4",270,"32,2",
840,AURORA,9255579,General Cargo Ship,PDUZ,246831000,NL,NLGRQ,13,"7,03","118,55","15,2",
841,AURORA VENTURE,9653214,Utility Vessel,2GRU6,235099969,GB,GBLER,22,"2,1","23,95","9,54",
842,AURVIKEN,9853400,Crude/Oil Products Tanker,D5UT8,636019492,LR,LRMLW,14,"15,24","244,16",43,
843,AUSTRALIA,1010959,Yacht,9HA5781,256279000,MT,MTMLA,23,"3,1","56,1","10,4",
844,AUTO ATLAS,8608054,"",3FTH8,353698000,PA,PAPTY,21,"10,02","199,52","32,26",3
845,AUTO BANNER,8608066,"",3FVN2,355997000,PA,PAPTY,21,"10,02","199,52","32,26",3
846,AUTO ENERGY,9736377,Vehicles Carrier,CQIA8,255805908,PT,PTFNC,21,"9,6",181,30,2
847,AV,1010167,Yacht,ZGAK9,319030100,KY,"",23,"4,3","94,45","16,22",
848,AVA D,9306225,Container Ship (Fully Cellular),CQGB,255705000,PT,PTFNC,17,"10,2","167,99","25,3",
849,AVANTAGE,9831153,Yacht,ZGKL8,319178700,KY,"",23,0,87,"14,2",
850,AVANTI,9860764,Yacht,V7A4725,538071602,MH,MHBII,23,"3,85",74,"11,94",
851,AVENIR ASCENSION,9868974,Bunkering Tanker (LNG),9HA5363,215903000,MT,MTMLA,14,"6,2","115,8",19,
852,AVENIR ASPIRATION,9868962,Bunkering Tanker (LNG),9HA5360,215902000,MT,MTMLA,14,"6,2","115,8",19,
853,AVERA,9252797,Container Ship (Fully Cellular),CQIY9,255806107,PT,PTFNC,17,"8,71","134,44","22,5",
854,AVILA,9295529,Container Ship (Fully Cellular),CQAD5,255806143,PT,PTFNC,17,"8,7","140,66","23,2",
855,AVIVA,1009053,Yacht,2029,319763000,KY,"",23,"3,35","68,27","12,4",
856,AVIVA,1012957,Yacht,ZGGI,319111300,KY,"",23,"4,15","98,4","17,24",
857,AVIVA,8030283,Ro-Ro Cargo Ship,5VCM5,671432000,TG,TGLFW,20,"5,99","141,55","18,36",1
858,AVIVA,9410131,Chemical/Products Tanker,V7ZG3,538090448,MH,MHMAJ,11,"9,7","161,65","22,4",
859,AVONMOOR,9145279,"",A9KE,408847000,BH,BHBAH,17,"7,9","126,8","20,04",
860,AVRA,9224984,Bulk Carrier,D5JJ6,,ZZ,"",12,"14,17",225,"32,25",
861,AWATEA,1009326,Yacht,ZGCA6,319011900,KY,"",23,"2,9",45,"8,8",
862,AWESOME,,"",ZCOL2,319106000,KY,KYGEC,23,"3,11",40,8,
863,AXIOMA,9571143,Yacht,9HA3697,229894000,MT,MTMLA,23,"3,94",72,"11,8",
864,AYA M,9007867,Ro-Ro Cargo Ship,3E3401,352001122,PA,PAPTY,20,"6,95","125,25","19,68",1
865,AYANE,9395991,Chemical/Products Tanker,9HA2516,248791000,MT,MTMLA,11,9,"144,05",23,
866,AYODEJI,9235701,Chemical/Products Tanker,D5RP9,636018839,LR,LRMLW,11,"11,11","175,97",31,
867,AYR,9313711,General Cargo Ship,LXDP,253613000,LU,LULUX,13,"5,14","88,3","12,4",
868,AYSE A,8415639,"",TCME,271000581,TR,TRIST,17,"8,02","146,73","23,14",
869,AYSE TELLI,9122112,Chemical/Products Tanker,TCA559,271046920,TR,TRIST,11,"6,71","99,75","16,4",
870,AYSEN,9193044,Passenger Ship,CA7614,725003098,CL,CLVAP,22,"1,71","41,75","12,5",
871,AYSENAZ,9034743,Chemical/Products Tanker,TCA3359,271044017,TR,TRIST,11,"8,14","113,64","17,5",
872,AYSHA M,8511146,General Cargo Ship,D6A2050,620050000,KM,KMYVA,13,"5,82","97,22","18,2",
873,AYSSEL,9155896,General Cargo Ship,5LJH6,636022540,LR,LRMLW,13,"6,31","111,75","14,5",
874,AZABRA,9881328,Tug,EBSJ,225991180,ES,ESBCN,92,"5,82","27,55","15,25",
875,AZALEA GALAXY,9343778,Chemical/Products Tanker,3EEV4,371823000,PA,PAPTY,11,"9,46","147,83","24,2",
876,AZAMANTA,1012713,Yacht,ZGEU6,319080700,KY,"",23,3,55,"9,17",
877,AZAMARA JOURNEY,9200940,Passenger/Cruise,9HOB8,256204000,MT,MTMLA,16,"5,95",181,"25,46",
878,AZAMARA ONWARD,9187887,Passenger/Cruise,9HA5593,229765000,MT,MTMLA,16,"5,95",181,"25,46",
879,AZAMARA PURSUIT,9210220,Passenger/Cruise,9HA4800,248762000,MT,MTMLA,16,"5,95",181,"25,46",
880,AZAMARA QUEST,9210218,Passenger/Cruise,9HOM8,256216000,MT,MTMLA,16,"5,95",181,"25,46",
881,AZARGOUN,9283019,Container Ship (Fully Cellular),EPBZ7,422039300,IR,IRQSH,17,"11,4","207,4","29,8",
882,AZBURG,9102899,"",J7BG6,325116200,DM,DMPOR,13,"7,45","130,17","15,87",
883,AZERBAIJAN,9729594,Chemical/Products Tanker,UBVP9,273398440,RU,RUTAG,11,"4,6","139,95","16,6",
884,AZIZA,9640073,Yacht,EABA,225449000,ES,ESSCT,23,"2,3","40,9","8,1",
885,AZOV CONCEPT,9345726,General Cargo Ship,V7A4780,538009466,MH,MHMAJ,13,"4,77","141,19",18,
886,AZOV CONFIDENCE,9372602,General Cargo Ship,V7A5220,538009828,MH,MHMAJ,13,"4,77","141,19",18,
887,AZRA-S,9403918,Chemical/Products Tanker,9HA5031,215241000,MT,MTMLA,11,"6,29","105,5","16,8",
888,AZUL ACE,9889100,Vehicles Carrier,HPGP,372424000,PA,PAPTY,21,"9,73","199,96",38,2
889,AZURA,9424883,Passenger/Cruise,ZCEE2,310610000,BM,BMBDA,16,"8,5","289,61","35,98",
890,AZURYTH,9431020,Chemical/Products Tanker,5BCA4,212228000,CY,CYLMS,11,"6,28","105,5","16,8",
891,AZZA,9208473,Chemical/Products Tanker,3EHZ4,371183000,PA,PAPTY,11,"11,02","183,06","27,4",
892,AZZAM,9693367,Yacht,A6KZ,470992000,AE,AEAUH,23,"4,5","180,61","20,8",
893,AZZURRA II,8991425,Yacht,T8A4038,511100826,PW,"",23,"2,96",47,"9,2",
894,B GAS MARINER,9344198,LPG Tanker,9HA2629,215064000,MT,MTMLA,14,"6,5","87,2","14,8",
895,B GAS MASTER,9344203,LPG Tanker,9HA2718,215389000,MT,MTMLA,14,"6,5","87,2","14,8",
896,B GAS MAUD,9363522,LPG Tanker,9HA4514,248102000,MT,MTMLA,14,"6,11","99,98","17,5",
897,B GAS SATURN,9261566,LPG Tanker,V7A6042,538090631,MH,MHMAJ,14,"6,5","74,94","14,2",
898,"B-I ""ALGIBE""",,"",2659,,ES,"",95,"0,55",30,7,
899,B2,1009833,Yacht,ZCYD3,319268000,KY,"",23,"3,35","78,43","12,4",
900,BABA'S,9822607,Yacht,6YUD8,339861000,JM,JMMBJ,23,"2,55","55,98","10,63",
901,BABOON,,"",ZCAU3,,BM,BMBDA,23,"3,66",65,9,
902,BABUN EXPRESS,9142667,General Cargo Ship,V2PF4,334978000,HN,HNSLO,13,"4,29","90,6","13,75",
903,BABYLON,9379519,Products Tanker,VTJD,419001604,IN,INBOM,11,"12,12","179,8","32,2",
904,BACA,1008956,Yacht,ZGIA4,319147700,KY,"",23,"2,88","43,4","8,75",
905,BACARELLA,9559755,Yacht,ZGAC9,319893000,KY,"",23,"3,5","59,76","10,36",
906,BAD ROMANCE V,9509566,Yacht,ZCXB6,319370000,KY,"",23,"2,32",49,"8,53",
907,BAHAMA MAMA,9441142,Passenger/Ro-Ro Ship (Vehicles),5BDW6,210567000,CY,CYLMS,15,"5,5","154,51","24,2",3
908,BAHIA UNO,9312274,Products Tanker,ECFT,224127820,ES,ESSCT,93,"5,8","66,5","15,6",
909,BAHIRA II,1000796,Yacht,ZCML3,,KY,"",23,"1,4",27,"6,2",
910,BAHRA,9595008,Crude/Oil Products Tanker,9KET,447069000,KW,KWKWI,11,"15,02","249,91",42,
911,BAHRI TULIP,9324497,Crude/Oil Products Tanker,HZGF,403548000,SA,SADMM,14,"11,8",200,"32,2",
912,BAKAN,9136840,General Cargo Ship,9HA2047,249870000,MT,MTMLA,13,"6,92","105,5","16,8",
913,BAKER RIVER,9284269,Bulk Carrier,VRMV3,477686200,HK,HKHKG,12,"12,58","189,99","32,26",
914,BAKI AKAR,9241803,Chemical/Products Tanker,TCA3959,271044414,TR,TRIST,11,"11,1","175,98",31,
915,BAKU,9745720,Chemical/Products Tanker,UBWP2,273390540,RU,RUTAG,11,"4,6","139,95","16,6",
916,BALAST,,"",JVY4,225988381,ES,"",97,1,"6,63","2,32",
917,BALAT,9383730,General Cargo Ship,HPUW,374761000,PA,PAPTY,13,"7,32","132,6","18,6",
918,BALISTA,8662490,Yacht,6YUD6,339859000,JM,JMOCJ,23,"1,66","46,57","8,74",
919,BALMORAL,8506294,Passenger/Cruise,C6II4,308785000,BS,BSNAS,16,"7,25","217,91","28,21",
920,BALT FLOT 14,9804215,Chemical/Products Tanker,UBQA,273392370,RU,"",11,"4,2","140,85","16,7",
921,BALTIC,9105918,"",V2OE1,305791000,AG,AGSJO,17,"13,5","292,16","32,3",
922,BALTIC,9253258,Chemical/Products Tanker,V7GC9,538002073,MH,MHMAJ,11,"11,7","182,55","27,34",
923,BALTIC ACE,9386213,"",C6WE8,309474000,BS,BSNAS,21,"7,9","147,93","25,03",2
924,BALTIC BREEZE,8312590,"",9VEQ,563374000,SG,SGSIN,21,"8,42","164,01","28,05",2
925,BALTIC BRIDGE,9290488,Container Ship (Fully Cellular),V7EF5,538007404,MH,MHMAJ,17,"14,5","300,07","42,8",
926,BALTIC FREEDOM,9327396,Chemical/Products Tanker,9HA3690,229881000,MT,MTMLA,11,"11,22","182,55","27,34",
927,BALTIC FROST,9327401,Chemical/Products Tanker,9HA2868,256495000,MT,MTMLA,11,"11,22","182,55","27,34",
928,BALTIC FULMAR,9313204,Container Ship (Fully Cellular),5BSL4,210925000,CY,CYLMS,17,9,169,"27,2",
929,BALTIC MARINER I,9314820,Chemical/Products Tanker,9HA3691,229882000,MT,MTMLA,11,"11,22","182,55","27,34",
930,BALTIC MOON,9195729,General Cargo Ship,2DTN5,235081933,IM,IMPEL,13,"5,42","88,78","12,5",
931,BALTIC SAILOR,9138214,General Cargo Ship,YLRD,275513000,LV,LVRIX,13,"5,02","82,5","12,3",
932,BALTIC SAPPHIRE,9443425,Chemical/Products Tanker,9HA3689,229880000,MT,MTMLA,11,"11,52","184,31","27,4",
933,BALTIC SUN II,9286059,Chemical/Products Tanker,9HAP8,215795000,MT,MTMLA,11,"11,22","182,55","27,34",
934,BALTIC SWIFT,9464376,Chemical/Products Tanker,9HA3688,229879000,MT,MTMLA,11,"11,52",184,"27,4",
935,BALTIC WAVE,9259991,Chemical/Products Tanker,9HDL8,215870000,MT,MTMLA,11,"11,22","182,55","27,34",
936,BALTIC WIND,9261401,Chemical/Products Tanker,9HDM8,215871000,MT,MTMLA,11,"11,22","182,55","27,34",
937,BALTIK,8022731,Fishing Vessel,OJRJ,230035000,FI,FIOUL,19,"3,08","27,03","7,31",
938,BALTIYSKIY BEREG,9327176,General Cargo Ship,UBKU5,273210460,RU,"",13,"4,46","89,73","15,6",
939,BALTIYSKIY-202,9057252,General Cargo Ship,3EVM8,372837000,PA,PAPTY,13,"4,88","89,5","13,2",
940,BALTO,7392854,Research Survey Vessel,V4PT4,341382000,KN,KNBAS,22,"3,2","39,76",9,
941,BANGKOK CHEMI,9330410,Chemical/Products Tanker,V7A5809,538010253,MH,MHMAJ,11,"8,81","134,16","20,5",
942,BANGLAR AGRADOOT,9793868,Chemical/Products Tanker,S2AI2,405000238,BD,"",11,"13,32","184,93",28,
943,BANGLAR AGRAGOTI,9793870,Chemical/Products Tanker,S2AI3,405000239,BD,"",11,"13,32",185,28,
944,BANGLAR AGRAJATRA,9793856,Chemical/Products Tanker,S2AI4,405000237,BD,"",11,"13,32","184,99",28,
945,BANYAN PRIDE,9223265,"",V7FY2,538007955,MH,MHMAJ,11,"12,32","170,36",29,
946,BAO QUAN,9554664,Bulk Carrier,5LFY2,636021836,LR,LRMLW,12,"12,8","189,98","32,26",
947,BARBARA,1012725,Yacht,ZGFN2,319104200,KY,"",23,"4,08","88,5","14,45",
948,BARBARA P,9144720,Container Ship (Fully Cellular),CQHY,255805600,PT,PTFNC,17,"9,19","138,97","23,9",
949,BARBARA-B,9177399,General Cargo Ship,V2HE6,304588000,AG,AGSJO,13,"5,5","100,7",16,
950,BARBARICA,9383443,Chemical/Products Tanker,ICCG,247224200,IT,ITRAN,11,"8,9","148,1",23,
951,BARBAROS HAYRETTIN VARDAL,9282675,Chemical/Products Tanker,3E2183,352002015,PA,PAPTY,11,"6,29","105,5","16,8",
952,BARBAROS ULUC VARDAL,9291602,Chemical/Products Tanker,3E2764,352001852,PA,PAPTY,11,"6,29","105,5","16,8",
953,BARBOUNI,9416020,Chemical/Products Tanker,V7ES2,538006955,MH,MHMAJ,11,"9,62","146,6","23,7",
954,BARBRO G,9546796,Bulk Carrier,CQOW,255802390,PT,PTFNC,12,"10,1",190,"23,6",
955,BARCAZA B1,,"",JHB3,224390680,ES,"",94,2,30,7,
956,BARCAZA B4,,"","",,ES,"",94,"",30,7,
957,BARCELONA DOS MIL,,"",5041,,ES,ESBCN,22,"2,28","14,28","4,01",
958,BARCELONA EXPRESS,9626053,Container Ship (Fully Cellular),VRLX6,477694300,HK,HKHKG,17,"12,5","227,97","37,3",
959,BARCELONA FAST FERRY,,"",HVQ6,225983747,ES,"",98,2,"11,72","4,48",
960,BARENTS,9028225,Yacht,9HA5260,215725000,MT,MTMLA,23,0,50,"8,9",
961,BARENTS,9356866,General Cargo Ship,V2CO5,305059000,AG,AGSJO,13,"5,59","87,84","12,8",
962,BARON,9394210,General Cargo Ship,TCCX8,271000910,TR,TRIST,13,"6,6",92,15,
963,BARROSO,,"",IJZ6,,BR,"",18,"6,2","103,4","11,4",
964,BARTALI,8785357,Yacht,ZGGS8,319118700,KY,"",23,"1,98","47,05","8,45",
965,BARTOK,9517458,Chemical/Products Tanker,5BBV5,209391000,CY,CYLMS,11,"5,8","98,71","14,1",
966,BASAT,9447029,Chemical/Products Tanker,9HNX9,249255000,MT,MTMLA,11,"7,97","131,85","18,9",
967,BASHUNDHARA LPG CHATOKI,9245081,LPG Tanker,S2BM3,405000344,BD,"",14,"6,46","119,29","18,2",
968,BASHUNDHARA MALIKA,9263708,Chemical/Products Tanker,S2BI6,405000334,BD,"",11,"12,2",183,"32,2",
969,BASIC PRINCESS,9635743,Bulk Carrier,3EVW9,373240000,PA,PAPTY,12,"10,54","179,97","29,8",
970,BASILIS L,9290505,Chemical/Products Tanker,V7LF6,538007627,MH,MHMAJ,11,"11,22","182,55","27,34",
971,BASILUZZO M,9323857,Chemical/Products Tanker,IBSY,247149100,IT,ITCTA,11,"8,13","122,52","19,98",
972,BASLE EXPRESS,9501344,Container Ship (Fully Cellular),DFGN2,211549000,DE,DEHAM,17,"15,5","366,52","48,2",
973,BASMALINA II,9487017,Yacht,ZGBM9,319027600,KY,"",23,"2,2","41,6","7,95",
974,BASSILEVOUSA,9295335,Chemical/Products Tanker,C4DY2,241522000,GR,GRPIR,11,"11,7","182,55","27,34",
975,BATON ROUGE,1010935,Yacht,2CZZ7,235077185,IM,IMDGS,23,"3,7",62,"11,4",
976,BAY 1,9218014,"",T2PY5,572403220,TV,TVFUN,20,"5,2",129,"21,2",2
977,BAY PEARL,8610423,Chemical/Products Tanker,HOJT,374376000,PA,PAPTY,11,"6,06","118,9","15,8",
978,BAY YASU,9363869,Chemical/Products Tanker,3ETR3,370646000,PA,PAPTY,11,"9,22","146,52","23,9",
979,BAYESIAN,9503392,Yacht (Sailing),2ICB8,235108471,GB,GBLON,23,"2,29","55,9","11,28",
980,BBC ADRIATIC,9378230,General Cargo Ship,V2CY5,305145000,AG,AGSJO,13,"5,7","115,46","16,5",
981,BBC AMBER,9563706,General Cargo Ship,V2FL8,305717000,AG,AGSJO,13,"9,1","153,44","23,2",
982,BBC BAHRAIN,9578751,General Cargo Ship,V2FY2,305847000,AG,AGSJO,13,7,"128,45","16,49",
983,BBC BELEM,9501655,General Cargo Ship,V2FN4,305729000,AG,AGSJO,13,7,"128,97","16,5",
984,BBC DART,9360207,General Cargo Ship,V2DE6,305187000,AG,AGSJO,13,"7,72","119,84",20,
985,BBC EVEREST,9508407,General Cargo Ship,DGNF2,218433000,DE,DELEE,13,"7,6","125,79",22,
986,BBC GEORGIA,9357224,General Cargo Ship,V2DB4,305159000,AG,AGSJO,13,"8,02","138,5",21,
987,BBC JUPITER,9577630,Bulk Carrier,V2HM9,304137000,AG,AGSJO,12,"10,4","189,99","28,5",
988,BBC KIMBERLEY,9407586,General Cargo Ship,V2ED5,305392000,AG,AGSJO,13,"7,7",139,20,
989,BBC KWIATKOWSKI,9436953,General Cargo Ship,V2DT5,305240000,AG,AGSJO,13,"7,15","122,45","18,2",
990,BBC LIVORNO,9570670,General Cargo Ship,V2QJ2,305775000,AG,AGSJO,13,7,"130,22","16,5",
991,BBC MARYLAND,9433298,General Cargo Ship,V2EK4,305459000,AG,AGSJO,13,8,"138,53",21,
992,BBC NAGASAKI,9559872,General Cargo Ship,V2FP5,305749000,AG,AGSJO,13,"7,78","132,2","15,87",
993,BBC NAPLES,9484223,General Cargo Ship,V2ET5,305546000,AG,AGSJO,13,"7,8","132,2","15,87",
994,BBC PERU,9549592,General Cargo Ship,V2QM5,305933000,AG,AGSJO,13,"8,25","146,25","20,1",
995,BBC REGALIA,9539389,General Cargo Ship,V2HL9,305796000,AG,AGSJO,13,"8,61","161,5","25,2",
996,BBC SONG,9750464,General Cargo Ship,CQIJ7,255805979,PT,PTFNC,13,"8,1",147,"22,8",
997,BBC WASHINGTON,9283954,General Cargo Ship,CQAV6,255806288,PT,PTFNC,13,8,"138,07",21,
998,BBG ENDEAVOR,9598189,Bulk Carrier,VRLO4,477203600,HK,HKHKG,12,"14,5",229,"32,25",
999,BBG GUIGANG,9847413,Bulk Carrier,VRSW9,477591700,HK,HKHKG,12,"14,5",229,"32,26",
1000,BBG JOURNEY,9789879,Bulk Carrier,VRQW8,477096500,HK,HKHKG,12,"14,49","228,99","32,26",
1001,BBG LEADER,9704843,Bulk Carrier,5LAD9,636020676,LR,LRMLW,12,"13,31","199,9","32,26",
1002,BC AMER,9685619,Open Hatch Cargo Ship,3FJM5,372719000,PA,PAPTY,12,"10,37",183,"29,5",
1003,BC CALLISTO,9400916,Open Hatch Cargo Ship,8PBC9,314560000,BB,BBBGI,12,"10,02","177,13","28,4",
1004,BDS ADVENTURE,8417508,Work/Repair Vessel,J8B6346,375824000,VC,VCKTN,22,"2,18","41,1","10,71",
1005,BEATA,9053828,General Cargo Ship,CQYC,255805882,PT,PTFNC,13,"6,16","107,1","18,2",
1006,BEATE,9333345,Container Ship (Fully Cellular),DFGL2,218816000,DE,DEHAM,17,"8,71","134,44","22,5",
1007,BEATRICE,9674763,Chemical/Products Tanker,9V7492,563678000,SG,SGSIN,11,"10,51","156,53",25,
1008,BEATRIX,8789482,Yacht,MBSB9,215427000,MT,MTMLA,23,"3,16","50,05","8,93",
1009,BEAUMAIDEN,9401257,General Cargo Ship,PHOU,244366000,NL,NLRTM,13,"5,41","88,6","12,5",
1010,BEAUMONDE,9278349,General Cargo Ship,PBBI,244573000,NL,NLRTM,13,"5,42","88,6","12,5",
1011,BEAUMOTION,9195767,General Cargo Ship,PBLE,244271000,NL,NLRTM,13,"5,42","88,6","12,5",
1012,BEAUTEMPS-BEAUPRE,9098361,Research Survey Vessel,9252,228798000,FR,FRBES,18,"5,9","80,64","14,9",
1013,BEAUTRADER,9428657,General Cargo Ship,PHQD,246232000,NL,NLRTM,13,"6,55","118,14","15,9",
1014,BEAUTRIDENT,9369306,General Cargo Ship,LXIR,253767000,LU,LULUX,13,"6,54","118,14","15,9",
1015,BEDFORD CASTLE,9189926,Open Hatch Cargo Ship,3EAL9,355650000,PA,PAPTY,12,"12,23","194,94","32,2",
1016,BEE,9506588,General Cargo Ship,D5H05,636016745,LR,LRMLW,13,"6,32","89,95","15,4",
1017,BEETHOVEN,9535539,Chemical/Products Tanker,5BAE5,209296000,CY,CYLMS,11,"5,79","98,71","14,1",
1018,BEGONIA,9287297,Chemical/Products Tanker,T2WL5,572572220,TV,TVFUN,11,"9,95","145,53","23,7",
1019,BEGONIA,9330381,Chemical/Products Tanker,D7FK,440109000,KR,KRCHA,11,"8,81","134,16","20,5",
1020,BEI LUN 16,9227821,Bulk Carrier,BOAV5,414414000,CN,"",12,"11,93","189,8","32,26",
1021,BEIJING,9308508,Container Ship (Fully Cellular),9HA4041,256937000,MT,MTMLA,17,15,"350,55","42,8",
1022,BEIJING BRIDGE,9292230,Container Ship (Fully Cellular),H8FE,371484000,PA,PAPTY,17,"13,52","294,12","32,2",
1023,BEKS BLUE,9263186,Chemical/Products Tanker,V7A5666,538010140,MH,MHMAJ,11,"11,89","181,78","27,42",
1024,BEKS CENK,9625815,Bulk Carrier,V7WG8,538004297,MH,MHMAJ,12,13,190,"32,26",
1025,BEKS CEYDA,9748239,Bulk Carrier,V7LL7,538006295,MH,MHMAJ,12,"13,3","199,9","32,26",
1026,BEKS EBRU,9308132,Crude/Oil Products Tanker,V7A5009,538009661,MH,MHMAJ,14,"13,41","189,02","32,2",
1027,BEKS INDIANA,9323986,Crude/Oil Products Tanker,V7A4853,538009530,MH,MHMAJ,14,"14,88",239,42,
1028,BEKS LINA,9263203,Chemical/Products Tanker,V7A5674,538010146,MH,MHMAJ,11,"11,98","181,78","27,42",
1029,BEKS NAZ,9263198,Chemical/Products Tanker,V7A5670,538010143,MH,MHMAJ,11,"11,89","181,78","27,42",
1030,BEKS NAZIK,9625803,Bulk Carrier,V7WG7,538004296,MH,MHMAJ,12,13,190,"32,26",
1031,BEKS SOLAR,9275763,Products Tanker,V7A6109,538010488,MH,MHMAJ,11,"13,82",228,"32,2",
1032,BEKS SWAN,9388792,Crude/Oil Products Tanker,V7A5176,538009800,MH,MHMAJ,14,"15,35","245,07",42,
1033,BEKS WORLD,9248796,Products Tanker,V7A5642,538010123,MH,MHMAJ,11,"11,12","175,93",31,
1034,BEKS YILMAZ,9628116,Bulk Carrier,V7WG9,538004298,MH,MHMAJ,12,"14,45",229,"32,26",
1035,BELASITZA,9498262,Bulk Carrier,9HA2903,256675000,MT,MTMLA,12,"10,4",186,"23,7",
1036,BELEM,8622983,Sail Training Ship,FUZW,227051000,FR,FRMRS,22,"3,34",57,"8,81",
1037,BELGRANO,9708992,Bulk Carrier,V7LO8,538006309,MH,MHMAJ,12,"14,43","228,99","32,26",
1038,BELGRAVIA V,9341897,LPG Tanker,V7A6087,538010472,MH,MHMAJ,14,"7,6","119,8",19,
1039,BELIER,,"",NMY3,,FR,"",18,"","31,8","9,3",
1040,BELINDA,9744075,Bulk Carrier,LAVK7,258288000,NO,NOEGE,12,"13,31","199,86","32,24",
1041,BELISLAND,9698197,Bulk Carrier,LAOH8,257818000,NO,NOEGE,12,"12,99","199,98","32,24",
1042,BELITA,9318060,Container Ship (Fully Cellular),A8LP6,636018102,LR,LRMLW,17,"14,67","334,07","42,8",
1043,BELITAKI,9152923,Container Ship (Fully Cellular),D5OC2,636018081,LR,LRMLW,17,"9,94","179,23","25,3",
1044,BELLA,1009649,Yacht,CGDI,319016600,KY,"",23,"2,77","44,65","8,8",
1045,BELLA,8319964,General Cargo Ship,TJMC87,613006332,CM,CMKBI,13,"3,41","78,87","9,96",
1046,BELLA II,9559286,Yacht,V7MG9,538071319,MH,MHBII,23,"2,9","53,4","9,4",
1047,BELLA VITA,1010337,Yacht,ZGAS8,319032800,KY,"",23,"3,5",60,"11,1",
1048,BELLE POULE,,"",FBPU,,FR,"",18,"3,35","37,5","7,5",
1049,BELLINGSHAUSEN,9197399,General Cargo Ship,V2KA,304469000,AG,AGSJO,13,"5,51","87,98","12,8",
1050,BELMEKEN,9576014,Bulk Carrier,9HA3894,256362000,MT,MTMLA,12,"10,04","176,2",26,
1051,BELMONTE,9687124,Bulk Carrier,5LAZ9,636093013,LR,LRMLW,12,"14,53","224,99","32,26",
1052,BELNIPPON,9801249,Bulk Carrier,LASB8,258003000,NO,NOEGE,12,"13,42","199,98","32,24",
1053,BELONGERS,9740677,Yacht,ZGEA8,319065800,KY,"",23,"2,6","49,13","9,33",
1054,BELUGA ACE,9777802,Vehicles Carrier,HPZB,353580000,PA,PAPTY,21,"10,02","199,95","32,2",2
1055,BENEDIKT,9327578,Container Ship (Fully Cellular),DCTW2,211553000,DE,DEHAM,17,"8,51","147,85","23,25",
1056,BENEFICENT,9148491,General Cargo Ship,TRAF4,626179000,GA,GALBV,13,"6,4","100,59","16,2",
1057,BENI LOUMA,8687804,Fishing Vessel,7T6265,605066265,DZ,DZAZW,19,0,26,"7,6",
1058,BENTLEY I,9253129,Products Tanker,3FHA8,373259000,PA,PAPTY,11,"11,1","175,95",31,
1059,BEREN IMAMOGLU,9130224,General Cargo Ship,TCA6122,271048133,TR,TRIST,13,"6,1","89,74","13,17",
1060,BERGAMOT ACE,9403281,Vehicles Carrier,ZGAS5,319740000,KY,"",21,"8,52","186,03","28,2",2
1061,BERGE ARZEW,9256597,LNG Tanker,C6TQ5,311745000,BS,BSNAS,11,"12,12",277,"43,4",
